match_id,match_date,player,wickets_taken,runs_conceded,overs_bowled,economy_rate,bowling_strike_rate,dot_ball_pct,form_wickets_10,form_economy_10,form_sr_bowl_10,form_dot_pct_bowl_10,form_maidens_10,consistency_wickets,recent_3fers,performance_score,performance_label
533284,2012-09-27,A Dananjaya,2,34,4.0,8.5,12.0,0.29,0.0,0.0,0.0,0.0,0,0.0,0.0,60.0,Good
533293,2012-10-01,A Dananjaya,2,27,4.0,6.75,12.0,0.33,0.0,0.0,0.0,0.0,0,0.0,0.0,60.0,Good
533298,2012-10-07,A Dananjaya,1,17,3.0,5.67,18.0,0.44,1.6666666666666667,6.973333333333334,14.0,0.3533333333333333,0,0.5773502691896258,0.0,47.3,Average
582186,2012-10-30,A Dananjaya,2,9,2.0,4.5,6.0,0.5,1.75,6.355,12.0,0.39,0,0.5,0.0,52.3,Good
573020,2013-01-28,A Dananjaya,0,12,1.0,12.0,999.0,0.33,1.4,7.484,209.4,0.378,0,0.8944271909999159,0.0,31.84,Average
1109610,2017-09-06,A Dananjaya,0,28,4.0,7.0,999.0,0.04,1.1666666666666667,7.403333333333333,341.0,0.3216666666666666,0,0.983192080250175,0.0,28.96,Average
1122729,2017-12-20,A Dananjaya,0,30,4.0,7.5,999.0,0.25,1.0,7.417142857142857,435.0,0.3114285714285714,0,1.0,0.0,26.7,Average
1122730,2017-12-22,A Dananjaya,0,49,3.67,13.36,999.0,0.41,0.875,8.16,505.5,0.32375,0,0.9910312089651148,0.0,22.87,Poor
1122731,2017-12-24,A Dananjaya,0,27,4.0,6.75,999.0,0.46,0.7777777777777778,8.003333333333334,560.3333333333334,0.3388888888888888,0,0.97182531580755,0.0,22.03,Poor
1130746,2018-02-15,A Dananjaya,0,32,4.0,8.0,999.0,0.29,0.7,8.003,604.2,0.3339999999999999,0,0.9486832980505138,0.0,20.99,Poor
1130747,2018-02-18,A Dananjaya,1,20,4.0,5.0,24.0,0.54,0.6,7.653,605.4,0.359,0,0.8432740427115678,0.0,20.68,Poor
1133817,2018-03-06,A Dananjaya,0,38,4.0,9.5,999.0,0.29,0.4,7.928,704.1,0.355,0,0.699205898780101,0.0,17.21,Poor
1133819,2018-03-10,A Dananjaya,0,36,3.0,12.0,999.0,0.44,0.3,8.561,802.2,0.355,0,0.6749485577105528,0.0,14.03,Poor
1133820,2018-03-12,A Dananjaya,2,19,4.0,4.75,12.0,0.54,0.3,8.586,802.8,0.359,0,0.6749485577105528,0.0,13.96,Poor
1133822,2018-03-16,A Dananjaya,2,37,4.0,9.25,12.0,0.42,0.5,8.311,704.1,0.368,0,0.8498365855987974,0.0,17.43,Poor
1142589,2018-08-14,A Dananjaya,2,16,4.0,4.0,12.0,0.67,0.7,8.011,605.4,0.4309999999999999,0,0.9486832980505138,0.0,20.97,Poor
1144172,2019-03-19,A Dananjaya,1,28,4.0,7.0,24.0,0.33,0.8,7.961,507.9,0.4389999999999999,0,0.9189365834726816,0.0,22.45,Poor
1144173,2019-03-22,A Dananjaya,1,31,4.0,7.75,24.0,0.25,0.9,7.4,410.4,0.423,0,0.8755950357709131,0.0,25.42,Average
1144174,2019-03-24,A Dananjaya,0,42,4.0,10.5,999.0,0.08,0.9,7.775,410.4,0.385,0,0.8755950357709131,0.0,24.32,Poor
1192875,2019-09-01,A Dananjaya,1,30,3.0,10.0,18.0,0.33,1.0,7.975,312.3,0.389,0,0.816496580927726,0.0,25.07,Average
1192876,2019-09-03,A Dananjaya,3,36,4.0,9.0,8.0,0.38,1.2,8.375,310.7,0.373,0,1.0327955589886444,1.0,26.57,Average
1192877,2019-09-06,A Dananjaya,2,29,4.0,7.25,12.0,0.54,1.4,8.15,212.0,0.398,0,0.966091783079296,1.0,29.9,Average
1238753,2020-11-27,A Dananjaya,0,66,7.0,9.43,999.0,0.43,1.4,7.892999999999999,212.0,0.397,0,0.966091783079296,1.0,30.65,Average
1238757,2020-11-30,A Dananjaya,2,92,8.0,11.5,24.0,0.33,1.4,8.568,213.2,0.376,0,0.966091783079296,1.0,28.68,Average
1238760,2020-12-03,A Dananjaya,2,84,7.33,11.45,22.0,0.36,1.4,8.788,214.2,0.37,0,0.966091783079296,1.0,28.04,Average
1252066,2021-03-03,A Dananjaya,3,62,4.0,15.5,8.0,0.33,1.5,9.938,213.8,0.336,0,1.0801234497346437,2.0,26.01,Average
1252067,2021-03-05,A Dananjaya,1,13,4.0,3.25,24.0,0.67,1.5,9.563,213.8,0.37,0,1.0801234497346437,2.0,27.11,Average
1252068,2021-03-07,A Dananjaya,0,54,4.0,13.5,999.0,0.38,1.4,10.138,311.3,0.383,0,1.1737877907772671,2.0,24.1,Poor
1249206,2021-06-23,A Dananjaya,0,40,4.0,10.0,999.0,0.29,1.4,10.088,311.3,0.404,0,1.1737877907772671,2.0,24.24,Poor
1249207,2021-06-24,A Dananjaya,0,13,1.17,11.14,999.0,0.0,1.3,10.202,409.4,0.371,0,1.2516655570345725,2.0,22.58,Poor
1262758,2021-07-25,A Dananjaya,0,41,3.0,13.67,999.0,0.28,1.0,10.669,508.5,0.361,0,1.1547005383792517,1.0,17.22,Poor
1262759,2021-07-28,A Dananjaya,2,29,4.0,7.25,12.0,0.29,1.0,10.669,508.5,0.336,0,1.1547005383792517,1.0,17.22,Poor
1262760,2021-07-29,A Dananjaya,0,11,4.0,2.75,999.0,0.58,1.0,10.001,508.5,0.351,0,1.1547005383792517,1.0,19.16,Poor
1271630,2021-09-10,A Dananjaya,0,28,3.0,9.33,999.0,0.28,0.8,9.784,606.0,0.346,0,1.1352924243950933,1.0,17.13,Poor
1291197,2021-12-06,A Dananjaya,4,40,8.0,5.0,12.0,0.5,1.0,9.139,605.0,0.36,0,1.4907119849998598,2.0,21.68,Poor
1291200,2021-12-08,A Dananjaya,2,76,8.0,9.5,24.0,0.33,0.9,8.539,606.6,0.36,0,1.3703203194062976,1.0,22.09,Poor
1382882,2023-08-01,A Dananjaya,2,42,6.33,6.63,19.0,0.53,1.0,8.876999999999999,606.1,0.346,0,1.414213562373095,1.0,22.44,Poor
1382884,2023-08-04,A Dananjaya,0,90,5.33,16.88,999.0,0.31,1.0,9.215,606.1,0.3389999999999999,0,1.414213562373095,1.0,21.46,Poor
1382887,2023-08-07,A Dananjaya,0,70,6.0,11.67,999.0,0.11,1.0,9.382,606.1,0.321,0,1.414213562373095,1.0,20.97,Poor
1419824,2024-03-04,A Dananjaya,0,19,2.0,9.5,999.0,0.17,1.0,9.218,606.1,0.3379999999999999,0,1.414213562373095,1.0,21.45,Poor
1428459,2024-07-01,A Dananjaya,2,58,8.0,7.25,24.0,0.38,1.2,8.576,508.6,0.348,0,1.398411797560202,1.0,25.99,Average
1428462,2024-07-03,A Dananjaya,0,82,6.0,13.67,999.0,0.44,1.0,9.218,607.3,0.363,0,1.414213562373095,1.0,21.45,Poor
1428478,2024-07-16,A Dananjaya,2,36,8.0,4.5,24.0,0.58,1.2,9.393,509.8,0.363,0,1.398411797560202,1.0,23.6,Poor
355998,2009-06-08,AD Mathews,1,10,2.0,5.0,12.0,0.75,0.0,0.0,0.0,0.0,0,0.0,0.0,60.0,Good
356002,2009-06-10,AD Mathews,0,12,1.17,10.29,999.0,0.29,0.0,0.0,0.0,0.0,0,0.0,0.0,60.0,Good
356005,2009-06-12,AD Mathews,1,23,4.0,5.75,24.0,0.58,0.6666666666666666,7.013333333333333,345.0,0.5399999999999999,0,0.5773502691896258,0.0,23.43,Poor
356009,2009-06-14,AD Mathews,0,23,3.0,7.67,999.0,0.56,0.5,7.1775,508.5,0.5449999999999999,0,0.5773502691896257,0.0,20.73,Poor
356016,2009-06-19,AD Mathews,3,16,4.0,4.0,8.0,0.67,1.0,6.542,408.4,0.5700000000000001,0,1.224744871391589,1.0,29.25,Average
356017,2009-06-21,AD Mathews,0,17,2.0,8.5,999.0,0.42,0.8333333333333334,6.868333333333333,506.8333333333333,0.545,0,1.1690451944500122,1.0,26.08,Average
403375,2009-08-12,AD Mathews,1,25,3.0,8.33,18.0,0.17,0.8571428571428571,7.077142857142857,437.0,0.4914285714285714,0,1.0690449676496976,1.0,25.79,Average
403385,2009-09-02,AD Mathews,1,19,2.0,9.5,12.0,0.25,0.875,7.38,383.875,0.46125,0,0.9910312089651148,1.0,25.14,Average
430884,2009-12-09,AD Mathews,2,30,4.0,7.5,12.0,0.21,1.0,7.393333333333333,342.55555555555554,0.4333333333333333,0,1.0,1.0,26.77,Average
430885,2009-12-12,AD Mathews,0,49,3.17,15.47,999.0,0.11,0.9,8.201,408.2,0.4009999999999999,0,0.9944289260117531,1.0,23.08,Poor
412678,2010-04-30,AD Mathews,1,7,2.0,3.5,12.0,0.83,0.9,8.051,408.2,0.409,0,0.9944289260117531,1.0,23.52,Poor
412692,2010-05-07,AD Mathews,1,18,2.0,9.0,12.0,0.58,1.0,7.922,309.5,0.438,0,0.9428090415820634,1.0,25.23,Average
412696,2010-05-09,AD Mathews,2,25,4.0,6.25,12.0,0.42,1.1,7.972,308.3,0.422,0,0.9944289260117531,1.0,26.41,Average
412699,2010-05-11,AD Mathews,0,29,3.17,9.16,999.0,0.32,1.1,8.121,308.3,0.398,0,0.9944289260117531,1.0,25.98,Average
412701,2010-05-13,AD Mathews,0,14,1.0,14.0,999.0,0.67,0.8,9.121,407.4,0.3979999999999999,0,0.7888106377466155,0.0,19.06,Poor
456991,2010-05-22,AD Mathews,1,17,3.0,5.67,18.0,0.56,0.9,8.838000000000001,309.3,0.412,0,0.7378647873726218,0.0,21.22,Poor
456992,2010-05-23,AD Mathews,1,22,4.0,5.5,24.0,0.54,0.9,8.555000000000001,309.9,0.449,0,0.7378647873726218,0.0,22.05,Poor
562437,2012-06-01,AD Mathews,2,10,4.0,2.5,12.0,0.83,1.0,7.855000000000001,309.9,0.507,0,0.816496580927726,0.0,25.42,Average
562438,2012-06-03,AD Mathews,0,9,2.0,4.5,999.0,0.75,0.8,7.5550000000000015,408.6,0.561,0,0.7888106377466155,0.0,23.63,Poor
564786,2012-08-07,AD Mathews,0,23,3.0,7.67,999.0,0.33,0.8,6.775,408.6,0.583,0,0.7888106377466155,0.0,25.91,Average
533272,2012-09-18,AD Mathews,0,9,2.0,4.5,999.0,0.67,0.7,6.875,507.3,0.567,0,0.8232726023485646,0.0,24.28,Poor
533278,2012-09-22,AD Mathews,0,8,1.0,8.0,999.0,0.17,0.6,6.775,606.0,0.526,0,0.8432740427115679,0.0,23.24,Poor
533284,2012-09-27,AD Mathews,0,14,2.0,7.0,999.0,0.42,0.4,6.85,704.7,0.526,0,0.6992058987801011,0.0,20.35,Poor
533289,2012-09-29,AD Mathews,1,32,4.0,8.0,24.0,0.25,0.5,6.734,607.2,0.519,0,0.7071067811865476,0.0,22.03,Poor
533293,2012-10-01,AD Mathews,0,22,3.0,7.33,999.0,0.5,0.5,6.067,607.2,0.502,0,0.7071067811865476,0.0,23.97,Poor
533296,2012-10-04,AD Mathews,2,27,4.0,6.75,12.0,0.33,0.6,6.175,606.6,0.479,0,0.8432740427115679,0.0,24.99,Poor
533298,2012-10-07,AD Mathews,1,12,4.0,3.0,24.0,0.71,0.6,5.925,606.6,0.496,0,0.8432740427115679,0.0,25.72,Average
582186,2012-10-30,AD Mathews,0,4,3.0,1.33,999.0,0.78,0.4,5.808,705.3,0.491,0,0.6992058987801011,0.0,23.39,Poor
573019,2013-01-26,AD Mathews,0,40,4.0,10.0,999.0,0.42,0.4,6.358,705.3,0.458,0,0.6992058987801011,0.0,21.79,Poor
602477,2013-03-31,AD Mathews,2,39,4.0,9.75,12.0,0.33,0.6,6.566,606.6,0.458,0,0.8432740427115679,0.0,23.85,Poor
